Potencia DC,Eficiencia
204.24,44.01684292988641
204.40000000000003,40.50880626223091
204.72,53.24345447440406
204.92,42.01639664259223
205.21,61.49797768139954
205.6,51.41050583657587
206.44000000000003,62.29412904475876
206.52,29.39182645748596
207.08,55.09947846242999
207.32,49.10283619525372
207.84000000000003,33.968437259430324
207.96000000000004,47.74956722446623
207.96000000000004,55.29909597999614
208.08,44.838523644752016
208.36,44.05836052985217
208.4,54.27063339731285
208.40000000000003,60.50863723608444
208.44,46.91997697179045
208.72000000000003,50.0191644308164
208.76,54.75186817397968
208.76,47.42287794596666
208.92,47.53015508328546
209.04,35.92613853807883
209.04,64.86796785304247
209.2,51.768642447418735
209.20000000000005,50.19120458891012
209.24,39.52399158860639
209.32,37.78903114848079
209.6,62.21374045801527
209.76,39.56903127383677
209.84000000000003,34.83606557377048
209.88,33.82885458357156
209.92,62.1189024390244
210.08,43.55483625285605
210.08000000000004,41.69840060929169
210.16000000000005,37.9710696612105
210.32,48.92544693799925
210.44,37.6829500095039
210.64,35.93809342954805
210.68,39.87089424719954
210.92,56.5143182249194
210.96,55.27114144861586
211.16000000000005,57.586664140935774
211.2,54.59280303030303
211.28,49.460431654676256
211.36,46.22445117335352
211.48,61.18781917911858
211.48,35.937204463779075
211.6,39.69754253308128
211.64,55.51880551880552
211.64,55.51880551880552
211.84,60.51737160120846
211.84000000000003,35.21525679758307
211.92,63.42015855039638
211.96,41.84751839969806
211.96000000000004,62.18154368748821
212.04,50.50933786078098
212.04,36.45538577626863
212.08,46.96341003394945
212.08,50.782723500565815
212.16,50.05656108597285
212.2,54.47690857681433
212.24,52.440633245382585
212.32,40.78749058025621
212.4,35.40489642184558
212.56,42.199849454271735
212.76,58.61064109795075
212.76,37.78905809362662
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
212.8,54.417293233082695
213.0,50.89201877934273
213.04,43.372136687945925
213.24,39.90808478709435
213.36,36.464191976002994
213.64,53.6884478562067
213.68,39.03032572070386
213.72,31.20905858132136
213.84,54.4799850355406
213.88,35.159902749205166
214.04,37.09586993085405
214.28,47.18125816688445
214.32,38.913773796192615
214.56,37.47203579418345
214.68,43.27370970747159
214.8,54.28305400372439
214.8,50.27932960893855
214.84,49.57177434369763
214.88,51.84288905435592
215.12,52.62179248791372
215.12,56.526589810338415
215.36,57.62444279346211
215.48,33.7386300352701
215.6,48.88682745825604
215.68,50.8160237388724
215.8,47.68303985171455
215.88,49.93514915693904
216.04,52.21255323088316
216.04,59.89631549713016
216.16000000000005,37.425980754996296
216.2,34.366327474560585
216.24,52.9966703662597
216.32,55.28846153846154
216.36,38.54686633388796
216.56,55.596601403768005
216.68,53.44286505445819
217.0,48.525345622119815
217.2,60.03683241252303
217.28000000000003,62.13181148748158
217.52,43.30636263332107
217.8,55.60146923783287
217.84000000000003,54.62724935732647
217.88,62.236093262346245
218.40000000000003,55.81501831501831
219.88,49.70893214480625
221.16000000000005,54.75673720383432
221.16000000000005,55.52541146681135
224.68,55.723695923090624
225.01,51.81991911470602
226.74,55.482049925024256
230.37,55.823240873377614
231.6,54.74956822107081
231.98,61.64324510733683
232.06,55.93381022149444
232.32,56.12947658402203
232.79,54.46969371536577
233.59000000000003,52.31388329979879
233.77,57.62073833254908
234.07,56.735164694322215
234.3,69.91037131882203
234.39,51.7940185161483
234.73,59.046564137519695
235.33,53.966770067564696
235.7,59.01569792108613
236.01,56.26880216939961
236.25,53.50264550264551
236.51,57.16460191958056
236.53,47.68951084429036
236.73,58.25201706585561
236.79,58.36395118037079
237.09,53.228731705259605
237.16,50.76741440377804
237.54,48.74968426370295
238.08,51.83131720430109
238.13,50.56061814975013
238.19,63.47873546328561
238.41,59.8968164087077
238.44,52.13051501425935
238.53,54.91971659749297
238.94,58.466560642839205
238.99,53.39135528683207
239.18,51.091228363575546
239.71,55.60886070668726
240.31,53.1396945611918
240.72000000000003,58.20039880358922
240.74,55.78632549638615
240.87,53.34827915473077
241.16,54.942776579864
241.34000000000003,53.61730338940913
241.95,60.50836949783014
242.63,57.742241272719774
242.84000000000003,55.96277384285949
242.97000000000003,52.80487302959212
242.99,51.27783036338944
243.39,53.576564361723975
243.79,52.99643135485458
244.19000000000003,54.79339858307056
244.8,51.63398692810458
245.06,48.80437443891292
245.55,66.70739156994502
245.92,53.3100195185426
246.03,60.11462016827216
246.08,58.02990897269181
246.47000000000003,56.923763541201765
246.97000000000003,51.13981455237477
247.37,68.68254032421069
248.96,56.515102827763485
249.3,52.98836742880064
249.43,52.96075051116546
250.85,41.61849710982659
250.9,59.62534874451973
251.51,52.44324281340702
257.65,62.2938094313992
258.20000000000005,60.57319907048798
259.15,62.78217248697665
259.3,51.33050520632472
259.6,50.23112480739599
259.6,64.94607087827427
259.6,55.35439137134052
259.8,55.42725173210161
260.1,55.01730103806227
260.35,57.38429037833686
260.75,54.53499520613614
260.95,58.78520789423261
261.05,59.4139053821107
261.3,68.84806735553003
261.45000000000005,57.02811244979918
261.85,63.7005919419515
262.15,55.04482166698456
262.15,65.3061224489796
262.15,63.74213236696548
262.3,53.86961494471979
262.4,46.4939024390244
262.65,53.68360936607653
262.65,68.68456120312203
262.9,54.20311905667554
263.2,60.90425531914895
263.4,49.58238420653
263.45,65.51527804137407
263.85,56.96418419556566
264.25,58.80794701986756
264.29999999999995,54.59704880817255
264.5,66.5406427221172
264.5,55.349716446124766
264.6,68.06500377928948
264.65,46.89212167013036
264.9,66.55341638354096
265.15,64.41636809353197
265.4,68.76412961567446
265.45,48.55905066867584
265.65,57.971014492753625
265.7,55.51373729770418
265.9,55.99849567506582
266.2,63.7114951164538
266.35,54.70245917026468
266.45,57.98461249765434
266.8,57.94602698650674
267.0,63.67041198501872
267.2,51.047904191616766
267.3,65.24504302282081
267.4,50.89753178758415
267.85,57.60686951652044
267.95,58.107855943273
268.05,66.96511844805073
268.5,65.28864059590317
268.8,64.99255952380952
268.9,52.51022685013016
269.25,55.93314763231197
269.35,59.58789678856506
269.4,48.62657757980698
269.45,55.70606791612545
269.5,54.76808905380334
269.6,62.09198813056379
270.2,50.703182827535166
270.20000000000005,55.25536639526276
271.05,56.37336284818299
271.35,62.42859775198083
271.4,62.49078850405306
271.65,52.42039388919566
271.65,53.63519234308853
272.05,52.01249770262819
272.9,62.51374129717846
272.95,50.08243267997802
273.15,64.21380194032584
273.6,68.12865497076022
273.75,49.05936073059361
273.8,54.09057706355003
274.04999999999995,58.018609742747685
274.4,68.65889212827989
274.62,60.22867963003423
274.85,60.61488084409677
275.22,58.68032846450112
282.71,61.61791234834283
285.01,60.59436510999614
285.29,61.06067510252726
285.56,67.55147779801092
285.84000000000003,67.90512174643156
