P_dc,P_ac_real,Eff_real,Eff_est,P_ac_est,Error
123.4,14.5,11.750405186385738,18.559795745542935,22.902787949999983,8.402787949999983
123.45,28.7,23.24827865532604,18.59147292172944,22.951173321874993,-5.748826678125006
124.07,28.8,23.212702506649475,18.982148314560316,23.551151413874983,-5.248848586125018
124.14,26.599999999999998,21.427420654100207,19.026011612292564,23.61889081549999,-2.9811091845000064
124.29,11.8,9.49392549682195,19.119837987669964,23.764046634874997,11.964046634874997
124.34,6.7,5.388451021392955,19.151063129724943,23.812431895499994,17.112431895499995
124.37,47.1,37.87086918067058,19.169786161353215,23.841463048874996,-23.258536951125006
124.4,32.0,25.723472668810288,19.1885001607717,23.870494199999996,-8.129505800000004
124.49,16.3,13.093421158325972,19.24458803106673,23.957587639874973,7.657587639874972
124.68,17.600000000000005,14.116137311517488,19.362729789862044,24.141451501999995,6.54145150199999
124.92,37.20000000000001,29.77905859750241,19.51144769612551,24.373700461999988,-12.826299538000022
124.98,40.70000000000001,32.56521043366939,19.548537909665534,24.431762679499986,-16.268237320500024
125.02,11.8,9.43848984162534,19.573244936410156,24.470470819499976,12.670470819499975
125.06,26.499999999999996,21.18982888213657,19.59793615504557,24.50917895549999,-1.9908210445000059
125.17,17.9,14.300551250299591,19.66575561945753,24.615626308874994,6.715626308874995
125.25,30.3,24.191616766467067,19.71500402944111,24.69304254687499,-5.606957453125009
125.28,14.7,11.733716475095784,19.73345596424009,24.722073631999987,10.022073631999987
125.41,28.799999999999997,22.964675863168804,19.81331231550513,24.847874974874983,-3.9521250251250137
125.47,12.100000000000001,9.643739539332111,19.85011326920776,24.905937118874977,12.805937118874976
125.49,25.900000000000002,20.639094748585546,19.862372431966676,24.92529116487498,-0.9747088351250213
125.5,18.799999999999997,14.9800796812749,19.86850054780875,24.934968187499983,6.134968187499986
125.57,28.5,22.69650394202437,19.911370023791495,25.002707338874977,-3.497292661125023
125.57999999999998,20.5,16.32425545469024,19.917490332457376,25.012384359499972,4.512384359499972
125.64,15.200000000000001,12.09805794333015,19.95419172078955,25.07044647799999,9.87044647799999
125.69,29.9,23.78868645079163,19.984749438996726,25.118831569874985,-4.781168430125014
125.71,33.9,26.966828414605043,19.99696571861823,25.138185604874977,-8.761814395125022
125.76,11.300000000000002,8.985368956743004,20.027489414758264,25.186570687999996,13.886570687999994
125.77,6.4,5.088653892025126,20.033591241055092,25.196247703874988,18.79624770387499
125.78,38.0,30.211480362537763,20.039692096915243,25.205924719499993,-12.794075280500007
125.79,22.7,18.04594959853724,20.045791982570144,25.215601734874983,2.515601734874984
125.79999999999998,30.300000000000008,24.0858505564388,20.051890898251177,25.225278749999976,-5.074721250000032
125.87,18.2,14.459362834670692,20.09455616816953,25.293017848874985,7.093017848874986
126.04,21.8,17.29609647730879,20.1979744827039,25.457527037999995,3.6575270379999942
126.04,20.800000000000004,16.502697556331324,20.1979744827039,25.457527037999995,4.657527037999991
126.14,35.1,27.826224829554462,20.25867854407799,25.554297115499978,-9.545702884500024
126.23,28.7,22.73627505347382,20.313229948407663,25.641390163874995,-3.0586098361250045
126.25,22.3,17.663366336633665,20.325341918316827,25.660744171874995,3.3607441718749946
126.25,38.29999999999999,30.33663366336633,20.325341918316827,25.660744171874995,-12.639255828124995
126.35,19.7,15.59161060546102,20.385844239711105,25.75751419687498,6.05751419687498
126.52,25.5,20.15491621877964,20.488478645273464,25.922023181999986,0.422023181999986
126.62,29.7,23.45601010898752,20.548723060732897,26.018793139499994,-3.681206860500005
126.64,19.4,15.319014529374602,20.56076052432089,26.038147127999974,6.638147127999975
126.84,26.00000000000001,20.49826553137812,20.68092633081047,26.231686957999997,0.23168695799998673
126.9,22.4,17.651694247438925,20.716902196611496,26.289748887499993,3.8897488874999944
126.92,22.4,17.64891270091396,20.72888659155372,26.309102861999985,3.909102861999987
126.93,13.3,10.478216339714804,20.734877372469075,26.318779848874996,13.018779848874996
126.95,37.1,29.224103977944072,20.746856102304047,26.33813382187499,-10.761866178125011
126.98,6.1,4.803906126949125,20.76481712041266,26.367164779499998,20.2671647795
127.0,27.0,21.25984251968504,20.776786417322818,26.38651874999998,-0.6134812500000209
127.0,32.0,25.196850393700785,20.776786417322818,26.38651874999998,-5.613481250000021
127.02,5.5,4.330026767438199,20.788751944182,26.405872719499975,20.905872719499975
127.02,19.599999999999998,15.43064084396158,20.788751944182,26.405872719499975,6.805872719499977
127.14,31.5,24.775837659273243,20.860466033899634,26.521996515499993,-4.978003484500007
127.25,17.6,13.831041257367389,20.9260851055992,26.62844329687498,9.028443296874979
127.27,17.2,13.51457531232812,20.938003656694413,26.647797253874977,9.447797253874977
127.29,14.8,11.62699347945636,20.94991846168198,26.667151209874994,11.867151209874994
127.29,36.500000000000014,28.67467986487549,20.94991846168198,26.667151209874994,-9.83284879012502
127.37,19.6,15.388238988772867,20.997540255849092,26.74456702387499,7.144567023874988
127.38,21.7,17.035641387972994,21.003488773355304,26.754243999499987,5.054243999499988
127.4,29.300000000000004,22.998430141287287,21.015383006279432,26.773597949999996,-2.5264020500000086
127.43,25.7,20.16793533704779,21.033217353743225,26.802628873874994,1.1026288738749948
127.51,22.0,17.253548741275193,21.080734577582138,26.880044659874986,4.8800446598749865
127.53,27.800000000000004,21.79879244099428,21.09260456667057,26.899398603874978,-0.9006013961250261
127.53,19.4,15.21210695522622,21.09260456667057,26.899398603874978,7.49939860387498
127.59,28.700000000000003,22.49392585625833,21.128192201485213,26.957460429874985,-1.7425395701250181
127.63,28.8,22.565227611063232,21.151898698483883,26.99616830887498,-1.8038316911250192
127.68,9.8,7.675438596491229,21.181510927318293,27.044553151999995,17.244553151999995
127.7,6.1000000000000005,4.776820673453407,21.193349324588866,27.06390708749998,20.96390708749998
127.99,14.0,10.938354558949918,21.364590233514328,27.344539039874988,13.344539039874988
128.0,28.8,22.5,21.37048124999999,27.354215999999987,-1.445784000000014
128.13,29.3,22.867400296573795,21.446980768652914,27.480016458874974,-1.8199835411250262
128.15,34.4,26.84354272337105,21.45873614660553,27.49937037187499,-6.90062962812501
128.17,36.199999999999996,28.24373878442693,21.47048785509478,27.518724283874977,-8.681275716125018
128.25,28.5,22.22222222222222,21.517458028752426,27.596139921874986,-0.9038600781250139
128.39,7.399999999999999,5.763688760806916,21.59951495433833,27.731617249874976,20.331617249874977
128.51,42.99999999999999,33.46043109485643,21.669707131643435,27.847740634874974,-15.152259365125019
