Date,Model,MSE,RMSE,MAE,MAPE,WAPE,Samples
2021-03-03,SAPM,1335839.952108296,1155.785426499355,936.2691392973628,42.30766071664645,43.77273765773169,3766
2021-03-04,Sensor,1334136.906707657,1155.0484434462726,934.3219259935402,42.57667750494975,43.45234443801111,4517
2021-03-04,Faiman,1428649.506794676,1195.261271352283,966.2434363419533,43.81956771206662,44.93691246970512,4517
2021-03-04,Ross,1787099.6614650728,1336.8244692049411,1066.892167987064,46.89404484751349,49.61776521758609,4517
2021-03-04,SAPM,1346026.7111546465,1160.1839126425803,938.0009529709776,42.68947314510486,43.62344429446621,4517
2021-03-05,Sensor,1372370.5485547285,1171.482201552686,949.9578525040348,45.66937889935467,43.56599640255705,5271
2021-03-05,Faiman,1468203.2444845084,1211.6943692550974,982.038202483947,46.85447647712817,45.03723263491578,5271
2021-03-05,Ross,1839854.904604954,1356.4125126984616,1085.6122691011276,49.608265353891944,49.78724065026942,5271
2021-03-05,SAPM,1384581.0811254457,1176.6822345584408,953.7116994501341,45.77130461212728,43.73815149566821,5271
2021-03-06,Sensor,1391458.8807290301,1179.6011532416499,961.3484654179787,45.35089866508999,43.72892505414722,6020
2021-03-06,Faiman,1481907.3988971023,1217.3361897590585,991.8312872022635,46.49559954093158,45.11549930603865,6020
2021-03-06,Ross,1854210.5288867229,1361.6939923810794,1095.8646185943433,49.30725293461087,49.84767074566287,6020
2021-03-06,SAPM,1403727.5831198536,1184.7901008701303,965.1239849403489,45.45511046281319,43.90066237539255,6020
2021-03-07,Sensor,1454573.0719787898,1206.0568278397125,986.7951910517656,45.044618285539116,43.90983423733078,6771
2021-03-07,Faiman,1540502.1195728914,1241.1696578521776,1015.8810089131238,46.153976677018385,45.20407791882682,6771
2021-03-07,Ross,1936162.068237423,1391.4604084333205,1125.1160920439293,49.116046423687926,50.06475664595197,6771
2021-03-07,SAPM,1467296.3357236015,1211.32007979873,990.6663746184182,45.151784592819034,44.08209189551091,6771
2021-03-08,Sensor,1503018.7566063502,1225.976654184879,1005.9981173392665,46.009789877226886,44.072296593662344,7523
2021-03-08,Faiman,1588487.0188964251,1260.351942473381,1034.7050832302589,47.090679697497286,45.32993504570857,7523
2021-03-08,Ross,1998605.5650116855,1413.72046919173,1147.0513813713674,50.0021747834604,50.25177265905386,7523
2021-03-08,SAPM,1516101.634748973,1231.300789713453,1009.944905553633,46.11485364446284,44.24520349853409,7523
2021-03-09,Sensor,1522550.4556707558,1233.9167134254872,1012.7408310568095,45.9619970534287,44.16547144442417,8271
2021-03-09,Faiman,1608628.6802724816,1268.317263255721,1041.3330312356395,47.03167330592623,45.41237288436477,8271
2021-03-09,Ross,2023546.467670909,1422.5141361937,1154.4784358279865,49.98787812171951,50.346626527892255,8271
2021-03-09,SAPM,1535790.2897299796,1239.2700632751441,1016.7133981255204,46.06835953364899,44.33871448159008,8271
2021-03-10,Sensor,1543833.2322987143,1242.5108580204499,1020.903304526159,45.719339047076424,44.21992737396284,9015
2021-03-10,Faiman,1629532.599509201,1276.5314721969064,1049.250810308278,46.78620802545452,45.44778572387788,9015
2021-03-10,Ross,2052419.9861949834,1432.6269529067863,1164.1149537128997,49.81260978104653,50.42306992239688,9015
2021-03-10,SAPM,1557253.824509313,1247.8997654095913,1024.9125530054503,45.82737441441465,44.39358601116425,9015
2021-03-11,Sensor,1558280.065174413,1248.3108848257364,1026.7207038434929,45.808758381837215,44.250620472738625,9766
2021-03-11,Faiman,1641846.3168536925,1281.3455103342317,1054.3771694745044,46.85063384172521,45.4425860770884,9766
2021-03-11,Ross,2069963.6647785779,1438.7368295760618,1170.5867282040247,49.92314673889695,50.45110013489813,9766
2021-03-11,SAPM,1571835.9856690483,1253.7288325906238,1030.7644265657918,45.918008836920116,44.42490081870964,9766
2021-03-12,Sensor,1585870.6277168032,1259.3135541702088,1037.6186481187858,45.62646425281507,44.31842696878957,10518
2021-03-12,Faiman,1671681.0275385173,1292.9350438202675,1065.7125916172645,46.665932148255365,45.51836625810359,10518
2021-03-12,Ross,2107212.5994377783,1451.6241247092094,1183.3695632310105,49.785594699134556,50.543692193876296,10518
